Job Number,License Number,Business Name,Street Address,Licensee,Licensee Name,City,State,County,Zip,Type,Accepted Date
"413824","","LA BODEGA 23 SOMERTON LLC","346 W MAIN STREET ","","","SOMERTON","Arizona","","85350","","2026-09-10T11:14:31"
"413770","","HAMPTON INN BY HILTON PHOENIX AIRPORT NORTH ","601  N 44TH  Street ","","","PHOENIX","Arizona","","85008","","2026-09-10T10:28:00"
"413841","06070121","STAGE 12 WEST","12 W MAIN  Street ","STAGE 12 WEST LLC","","MESA","Arizona","Maricopa","85201","Bar","2026-09-10T00:00:00"
"413767","06070223","DOUBLETREE PHOENIX MIDTOWN","4000 N CENTRAL Avenue STE 120","REMINGTON PHOENIX MIDTOWN EMPLOYERS LLC","","PHOENIX","Arizona","Maricopa","85012","Bar","2026-09-09T00:00:00"
"413728","","TRAILRIDERS FAMILY RESTAURANT","140 N MAIN Street ","","","EAGAR","Arizona","","85925","","2026-09-09T00:00:00"
"411015","06130008","SOUTHERN BITES","2985 N CENTRE Court #B","89ER KITCHEN LLC","","PRESCOTT VALLEY","Arizona","Yavapai","86314","Bar","2026-09-09T00:00:00"
"412538","","MERA GREENFIELD (CLUBHOUSE)","4755 E SOUTHERN AVENUE ","","","MESA","Arizona","","85206","","2026-09-05T05:55:54"
"412527","","MEZCAL","13216 N 7TH STREET # 4","","","PHOENIX","Arizona","","85022","","2026-09-04T00:00:00"
"412284","06070616","SEAFOOD CITY SUPERMARKET","3177 W CHANDLER BOULEVARD #200","FORTUNE FOODS ARIZONA INC","","CHANDLER","Arizona","Maricopa","85226","Bar","2026-09-04T00:00:00"
"411564","","NISHIKAWA RAMEN","3141 E INDIAN SCHOOL  Road STE 110","","","PHOENIX","Arizona","","85016","","2026-09-03T18:06:22"
"412448","","TASTED BUDS KITCHEN PARADISE VALLEY","3131 E THUNDERBIRD ROAD STE 46","","","PHOENIX","Arizona","","85032","","2026-09-03T00:00:00"
"392693","","RESTAURANT LAS MARIAS","519 W THOMAS Road ","","","PHOENIX","Arizona","","85013","","2026-09-02T19:35:33"
"412290","","COPPER STATE BARBECUE COMPANY","14884 N PIMA ROAD #120","","","SCOTTSDALE","Arizona","","85260","","2026-09-02T11:10:48"
"410495","007070038896","THE WALK IN","235 N COUNTRY CLUB  DRIVE #B","THE WALK IN LLC","","MESA","Arizona","Maricopa","85201","Beer and Wine Bar","2026-09-02T00:00:00"
"412350","007070022990","OHSO BREWERY","335 N GILBERT ROAD ","FROSTY GILBERT LLC","","GILBERT","Arizona","Maricopa","85234","Beer and Wine Bar","2026-09-02T00:00:00"
"412234","","BELMONTEZ TEQUILA","9299 W OLIVE AVENUE STE 505","","","PEORIA","Arizona","","85345","","2026-09-01T16:16:21"
"408402","","SUSHI BROS","8841 N 19TH Avenue SUITE 4","","","PHOENIX","Arizona","","85021","","2026-09-01T13:15:21"
"412115","","PERSIAN ROOM FINE WINE & KEBAB","17040 N SCOTTSDALE Road ","","","SCOTTSDALE","Arizona","","85258","","2026-09-01T00:00:00"
"412232","","JP MCGURKEES SANDWICH SHOP ","2822 N 15TH Avenue ","","Theodore Theodoropoulos","PHOENIX","Arizona","","85007","","2026-09-01T00:00:00"
"412171","09100126","WALGREENS #06245","7877 E SNYDER ROAD ","WALGREEN ARIZONA DRUG CO","","TUCSON","Arizona","Pima","85750","Liquor Store","2026-09-01T00:00:00"
"412257","06110068","APEX MOTOR CLUB","22408 N RALSTON ROAD ","PRIVATE MOTORSPORTS GROUP LLC ","","MARICOPA","Arizona","Pinal","85139","Bar","2026-09-01T00:00:00"
"411694","","4 LOKOS BY SONORA GRILLING","712 S 4TH AVENUE ","","","YUMA","Arizona","","85364","","2026-08-31T00:00:00"
"411578","","CHILTEPINOS WINGS","800 W SHELL Road ","","","NOGALES","Arizona","","85621","","2026-08-30T20:24:15"
"411064","","PABLO'S","802 N 1ST AVENUE ","","","PHOENIX","Arizona","","85003","","2026-08-28T14:49:31"
"411280","","SAUCE PIZZA & WINE #5102","742 E GLENDALE Avenue #126","","","PHOENIX","Arizona","","85020","","2026-08-28T13:00:25"
"411455","","SAUCE PIZZA & WINE #5107","25 E CAMELBACK Road ","","","PHOENIX","Arizona","","85012","","2026-08-28T12:57:16"
"411529","","THE IRISH COWBOY ","305 N MAIN STREET ","","","FLORENCE","Arizona","","85132","","2026-08-28T00:00:00"
"411405","","LITCHFIELD SMOKE AND VAPE","1016 S LITCHFIELD Road ","","","GOODYEAR","Arizona","","85338","","2026-08-27T00:00:00"
"411305","","RISTORANTE GIUSEPPE ","13610 N SCOTTSDALE ROAD #9","","","SCOTTSDALE","Arizona","","85254","","2026-08-26T00:00:00"
"411219","06130031","JAKE RYANS","114 N MONTEZUMA Street ","JAKE RYANS LLC","","PRESCOTT","Arizona","Yavapai","86301","Bar","2026-08-26T00:00:00"
"411374","06100251","STONE EASY","123 S STONE AVENUE ","123 ENTERTAINMENT LLC","","TUCSON","Arizona","Pima","85701","Bar","2026-08-26T00:00:00"
"411251","","SORA SUSHI & JAPANESE DINING","780 W ELLIOT Road #104","","","TEMPE","Arizona","","85284","","2026-08-26T00:00:00"
"411148","","SPEEDWAY #2938","7335 S HOUGHTON Road ","","","TUCSON","Arizona","","85747","","2026-08-25T18:18:32"
"411256","","ANTOJITOS OAXAQUENOS EL CAMPESINO ","206 S MAIN Street ","","","COTTONWOOD","Arizona","","86326","","2026-08-25T00:00:00"
"411104","","YOSHI'S","4102 N 24TH STREET STE 4","","","PHOENIX","Arizona","","85016","","2026-08-25T00:00:00"
"411175","","JIN BBQ","111 S DOBSON Road #104","","","MESA","Arizona","","85202","","2026-08-25T00:00:00"
"411144","","HENSLEY BEVERAGE COMPANY","4450 N 45TH AVENUE #103","","","PHOENIX","Arizona","","85031","","2026-08-25T00:00:00"
"410792","","WALMART FUEL STATION #3089","11143 E DESTINATION AUTO DRIVE ","","","MESA","Arizona","","85212","","2026-08-24T08:45:04"
"411005","06030047","MORMON LAKE LODGE","1991 MORMON LAKE Road ","HAPPY JACK MORMON LAKE LODGE LLC","","MORMON LAKE","Arizona","Coconino","86038","Bar","2026-08-24T00:00:00"
"410844","","ALDI #179","19169 N JOHN WAYNE PARKWAY ","","","MARICOPA","Arizona","","85139","","2026-08-21T12:24:57"
"408335","","BELLA VISTA BY ANGELA","22135 N MISSION DRIVE ","","","SUN CITY WEST","Arizona","","85375","","2026-08-20T19:32:23"
"410674","","CIRCLE K STORE #2701535","2570 W HIGHWAY 89A ","","","SEDONA","Arizona","","86336","","2026-08-20T09:44:38"
"410721","","FEDERICO'S MEXICAN FOOD ","2640 S  99TH AVENUE #A","","","TOLLESON","Arizona","","85353","","2026-08-20T00:00:00"
"407273","006130023516","CRUNCH JAM LOFTS","116 N CORTEZ ","CRUNCH JAM LOFTS LLC","","PRESCOTT","Arizona","Yavapai","86301","Bar","2026-08-20T00:00:00"
"410689","09100059","CIRCLE K STORE #2709601","7630 S KOLB ROAD ","CIRCLE K STORES INC","","TUCSON","Arizona","Pima","85756","Liquor Store","2026-08-20T00:00:00"
"410682","09130027","CIRCLE K STORE #2709547","2820 W STATE ROUTE 89A ","CIRCLE K STORES INC","","SEDONA","Arizona","Yavapai","86336","Liquor Store","2026-08-20T00:00:00"
"410691","","INGO'S","3800 E SKY HARBOR  BOULEVARD T4 N2 F36","","","PHOENIX","Arizona","","85034","","2026-08-20T00:00:00"
"410699","","X MART-TUCSON","4701 E 29TH Street ","","","TUCSON","Arizona","","85711","","2026-08-20T00:00:00"
"398504","","EVR PORTER","17805 N PORTER ROAD #O1","","","MARICOPA","Arizona","","85138","","2026-08-19T20:13:48"
"410640","009070024367","COSTCO WHOLESALE #1834","4499 N PIMA ROAD ","COSTCO WHOLESALE CORP","","SCOTTSDALE","Arizona","Maricopa","85251","Liquor Store","2026-08-19T00:00:00"
"410564","","SKYLINE LIQUOR","1635 E FLORENCE BOULEVARD ","","Sarhad Kasmarogi","CASA GRANDE","Arizona","","85122","","2026-08-18T00:00:00"
"410562","","SKYLINE LIQUOR","1635 E FLORENCE BOULEVARD ","","Sarhad Kasmarogi","CASA GRANDE","Arizona","","85122","","2026-08-18T00:00:00"
"408065","","FIRESKY FARMS","12 SHOOTING STAR  LANE ","","","ELGIN","Arizona","","85611","","2026-08-17T16:02:22"
"401785","","EMBASSY SUITES PHOENIX-TEMPE","4400 S RURAL Road ","","","TEMPE","Arizona","","85282","","2026-08-17T13:11:08"
"409932","","VALLEY COFFEE COMPANY","100 W PORTLAND Street SPACE 108","","","PHOENIX","Arizona","","85003","","2026-08-15T12:37:49"
"410126","","MENDOCINO FARMS","4325 E INDIAN SCHOOL Road #150","","","PHOENIX","Arizona","","85018","","2026-08-14T17:32:30"
"410118","","MENDOCINO FARMS","16203 N SCOTTSDALE ROAD BLDG 8 #16D","","","SCOTTSDALE","Arizona","","85254","","2026-08-14T17:23:16"
"410101","","MENDOCINO FARMS","8777 N SCOTTSDALE ROAD #302","","","SCOTTSDALE","Arizona","","85258","","2026-08-14T17:12:24"
"410174","","7-ELEVEN #47406A","3152 E BELL ROAD ","","","PHOENIX","Arizona","","85032","","2026-08-14T11:54:17"
"410187","","KOR'S","4623  E THISTLE LANDING DRIVE ","","","PHOENIX","Arizona","","85044","","2026-08-14T10:27:48"
"407206","","PARKDRIVE","6 E ASPEN AVENUE STE 120","","","FLAGSTAFF","Arizona","","86001","","2026-08-14T08:03:49"
"410489","","URBAN AIR PEORIA","8235 W BELL ROAD ","","","PEORIA","Arizona","","85382","","2026-08-14T00:00:00"
"410211","","ORLIES TAPROOM","17543 N PORTER  ROAD ","","","MARICOPA","Arizona","","85138","","2026-08-14T00:00:00"
"410186","","SUPERIOR LIQUOR","831 S WESTERN AVENUE ","","","SUPERIOR","Arizona","","85173","","2026-08-14T00:00:00"
"410244","09070726","VIVA LIQUORS","2527 N 32ND Street ","VIVA LIQUORS LLC","","PHOENIX","Arizona","Maricopa","85008","Liquor Store","2026-08-14T00:00:00"
"409978","","VALLEY LIQUORS","1160 E UNIVERSITY DRIVE ","","","MESA","Arizona","","85203","","2026-08-13T13:39:17"
"410115","","GENERAL ADMISSION SCOTTSDALE ","3737  NORTH SCOTTSDALE  ROAD ","","","SCOTTSDALE ","Arizona","","85251","","2026-08-13T00:00:00"
"410076","","LOS MANJARES 73","11274 FORTUNA Road #I-1","","","YUMA","Arizona","","85367","","2026-08-13T00:00:00"
"410228","","SUN SUSHI AND GRILL ALL YOU CAN EAT","3301 W GREENWAY Road ","","","PHOENIX","Arizona","","85053","","2026-08-13T00:00:00"
"410238","","WAY STATION MEADERY","9280 E CORNVILLE  ROAD ","","","CORNVILLE ","Arizona","","86325","","2026-08-13T00:00:00"
"409982","","WILD HARE DISTILLERY","5869 S KYRENE Road STE 18","","","TEMPE","Arizona","","85283","","2026-08-12T13:01:59"
"409435","","LEVEL 1 ARCADE BAR","4 E UNIVERSITY Drive ","","","TEMPE","Arizona","","85281","","2026-08-12T10:02:35"
"409976","06110031","OCHOA'S RESTAURANT","512 E COTTONWOOD Lane ","RESTAURANTE OCHOA'S LLC","","CASA GRANDE","Arizona","Pinal","85222","Bar","2026-08-12T00:00:00"
"410049","","GROVE 95","5158 US 95 ","","","YUMA","Arizona","","85365","","2026-08-12T00:00:00"
"409975","","THE BACK NINE ","3805 W RIVER ROAD #151","","","TUCSON","Arizona","","85741","","2026-08-12T00:00:00"
"409864","","MAVERIK","4190 BUTLER  AVENUE ","","","FLAGSTAFF","Arizona","","86004","","2026-08-11T11:47:15"
"409837","","BISTRO BRUNCH COCINA MEXICANA ","5950 W MCDOWELL  ROAD #101","","","PHOENIX","Arizona","","85035","","2026-08-11T09:24:12"
"406427","","TOO SWEET CAKES","4598 E CACTUS ROAD #104 C","","","PHOENIX","Arizona","","85032","","2026-08-10T17:20:02"
"409708","","RANCHO CASTILLO","3266 AZ-82 ","","","SONOITA","Arizona","","85637","","2026-08-10T08:54:10"
"409819","","FIERY CRAB","7625 N LA CHOLLA Boulevard ","","","TUCSON","Arizona","","85741","","2026-08-10T00:00:00"
